DeviceName, DeviceAddedTime, LastSeenTime, 
N/A, 2022-03-13 03:58:22, 2022-03-13 03:58:25,
N/A, 2022-03-13 04:06:53, 2022-03-13 04:10:41,
N/A, 2022-03-13 03:57:17, 2022-03-13 03:57:21,
N/A, 2022-03-13 03:57:20, 2022-03-13 04:10:40,
N/A, 2022-03-13 03:58:14, 2022-03-13 03:58:18,
N/A, 2022-03-13 04:07:45, 2022-03-13 04:10:01,
N/A, 2022-03-13 04:08:01, 2022-03-13 04:08:01,
N/A, 2022-03-13 03:57:22, 2022-03-13 03:59:13,
N/A, 2022-03-13 03:58:51, 2022-03-13 03:59:03,
N/A, 2022-03-13 04:07:26, 2022-03-13 04:07:50,
N/A, 2022-03-13 03:57:49, 2022-03-13 03:57:54,
N/A, 2022-03-13 03:57:18, 2022-03-13 03:58:04,
N/A, 2022-03-13 03:57:53, 2022-03-13 03:57:54,
QT 0467602, 2022-03-13 04:07:18, 2022-03-13 04:07:18,
N/A, 2022-03-13 04:06:54, 2022-03-13 04:07:57,
N/A, 2022-03-13 04:07:14, 2022-03-13 04:07:14,
N/A, 2022-03-13 04:08:12, 2022-03-13 04:08:15,
N/A, 2022-03-13 03:57:53, 2022-03-13 03:57:54,
N/A, 2022-03-13 04:07:43, 2022-03-13 04:07:44,
N/A, 2022-03-13 04:07:18, 2022-03-13 04:07:18,
N/A, 2022-03-13 04:08:22, 2022-03-13 04:08:22,
N/A, 2022-03-13 04:08:01, 2022-03-13 04:08:01,
N/A, 2022-03-13 04:06:53, 2022-03-13 04:08:42,
N/A, 2022-03-13 03:57:44, 2022-03-13 03:57:44,
N/A, 2022-03-13 04:07:10, 2022-03-13 04:10:40,
N/A, 2022-03-13 04:06:53, 2022-03-13 04:07:54,
N/A, 2022-03-13 03:50:36, 2022-03-13 03:51:14,
N/A, 2022-03-13 03:57:17, 2022-03-13 03:58:20,
N/A, 2022-03-13 03:58:23, 2022-03-13 03:58:23,
N/A, 2022-03-13 03:59:13, 2022-03-13 03:59:13,
N/A, 2022-03-13 04:07:14, 2022-03-13 04:08:43,
N/A, 2022-03-13 03:58:02, 2022-03-13 03:58:03,
N/A, 2022-03-13 04:07:51, 2022-03-13 04:07:51,
N/A, 2022-03-13 03:57:57, 2022-03-13 03:57:58,
N/A, 2022-03-13 03:57:17, 2022-03-13 03:58:54,
N/A, 2022-03-13 04:06:53, 2022-03-13 04:06:53,
Alex’s Apple Watch, 2022-03-13 03:50:35, 2022-03-13 04:10:41,
N/A, 2022-03-13 03:57:22, 2022-03-13 03:59:10,
N/A, 2022-03-13 03:58:57, 2022-03-13 03:59:10,
N/A, 2022-03-13 03:57:53, 2022-03-13 03:57:53,
Bose SoundSport, 2022-03-13 03:57:27, 2022-03-13 03:58:15,
N/A, 2022-03-13 03:57:17, 2022-03-13 03:59:16,
N/A, 2022-03-13 03:50:35, 2022-03-13 03:58:54,
N/A, 2022-03-13 03:57:18, 2022-03-13 03:57:53,
N/A, 2022-03-13 04:07:46, 2022-03-13 04:07:47,
N/A, 2022-03-13 03:57:17, 2022-03-13 03:59:16,
N/A, 2022-03-13 04:07:10, 2022-03-13 04:07:54,
N/A, 2022-03-13 03:57:42, 2022-03-13 03:57:42,
N/A, 2022-03-13 04:07:26, 2022-03-13 04:07:50,
N/A, 2022-03-13 03:57:50, 2022-03-13 03:57:54,
N/A, 2022-03-13 03:57:52, 2022-03-13 03:57:54,
N/A, 2022-03-13 03:57:17, 2022-03-13 03:58:02,
N/A, 2022-03-13 04:07:57, 2022-03-13 04:07:59,
N/A, 2022-03-13 03:57:31, 2022-03-13 03:58:45,
N/A, 2022-03-13 03:57:49, 2022-03-13 03:57:53,
N/A, 2022-03-13 03:57:17, 2022-03-13 03:58:45,
N/A, 2022-03-13 03:58:22, 2022-03-13 03:58:22,
N/A, 2022-03-13 03:57:22, 2022-03-13 03:59:00,
N/A, 2022-03-13 04:07:47, 2022-03-13 04:07:48,
N/A, 2022-03-13 03:59:08, 2022-03-13 03:59:14,
N/A, 2022-03-13 04:07:09, 2022-03-13 04:10:39,
N/A, 2022-03-13 03:50:37, 2022-03-13 03:50:37,
N/A, 2022-03-13 03:57:17, 2022-03-13 03:59:16,
N/A, 2022-03-13 03:57:54, 2022-03-13 03:57:54,
N/A, 2022-03-13 04:07:43, 2022-03-13 04:10:09,
N/A, 2022-03-13 03:57:18, 2022-03-13 03:58:04,
N/A, 2022-03-13 04:06:53, 2022-03-13 04:07:26,
N/A, 2022-03-13 03:57:23, 2022-03-13 03:58:45,
N/A, 2022-03-13 03:57:52, 2022-03-13 03:57:52,
N/A, 2022-03-13 04:07:19, 2022-03-13 04:07:20,
N/A, 2022-03-13 04:07:46, 2022-03-13 04:07:47,
Alex Martakis’s iPhone, 2022-03-13 03:50:35, 2022-03-13 04:10:40,
N/A, 2022-03-13 03:57:22, 2022-03-13 03:58:42,
N/A, 2022-03-13 03:57:32, 2022-03-13 03:58:17,
N/A, 2022-03-13 04:07:47, 2022-03-13 04:07:50,
N/A, 2022-03-13 04:07:51, 2022-03-13 04:07:52,
N/A, 2022-03-13 03:57:19, 2022-03-13 03:59:16,
QT 15676900, 2022-03-13 03:57:52, 2022-03-13 03:57:53,
N/A, 2022-03-13 03:57:23, 2022-03-13 03:57:26,
N/A, 2022-03-13 03:58:52, 2022-03-13 03:59:01,
N/A, 2022-03-13 03:58:38, 2022-03-13 03:59:10,
N/A, 2022-03-13 04:07:12, 2022-03-13 04:07:13,
N/A, 2022-03-13 03:50:35, 2022-03-13 04:10:41,
N/A, 2022-03-13 03:50:37, 2022-03-13 03:50:39,
N/A, 2022-03-13 03:57:52, 2022-03-13 03:57:54,
N/A, 2022-03-13 03:57:49, 2022-03-13 03:57:53,
N/A, 2022-03-13 03:50:37, 2022-03-13 04:10:41,
N/A, 2022-03-13 04:07:17, 2022-03-13 04:07:22,
N/A, 2022-03-13 04:08:24, 2022-03-13 04:08:25,
N/A, 2022-03-13 04:07:30, 2022-03-13 04:10:38,
N/A, 2022-03-13 03:57:17, 2022-03-13 03:59:07,
N/A, 2022-03-13 03:57:17, 2022-03-13 04:07:14,
QT 15183368, 2022-03-13 03:57:42, 2022-03-13 03:57:44,
N/A, 2022-03-13 03:50:36, 2022-03-13 03:59:11,
N/A, 2022-03-13 03:57:20, 2022-03-13 03:58:45,
N/A, 2022-03-13 04:07:19, 2022-03-13 04:07:20,
N/A, 2022-03-13 04:07:19, 2022-03-13 04:07:20,
N/A, 2022-03-13 04:06:53, 2022-03-13 04:10:40,
N/A, 2022-03-13 04:06:53, 2022-03-13 04:10:41,
N/A, 2022-03-13 03:58:32, 2022-03-13 03:58:43,
N/A, 2022-03-13 04:06:53, 2022-03-13 04:07:54,
N/A, 2022-03-13 04:07:18, 2022-03-13 04:07:20,
N/A, 2022-03-13 04:07:19, 2022-03-13 04:07:19,
N/A, 2022-03-13 03:58:13, 2022-03-13 03:58:17,
N/A, 2022-03-13 03:57:23, 2022-03-13 03:59:04,
N/A, 2022-03-13 03:50:38, 2022-03-13 03:50:42,
N/A, 2022-03-13 04:06:53, 2022-03-13 04:07:54,
N/A, 2022-03-13 03:57:20, 2022-03-13 03:58:41,
N/A, 2022-03-13 04:08:26, 2022-03-13 04:08:26,
N/A, 2022-03-13 03:57:43, 2022-03-13 03:57:45,
N/A, 2022-03-13 03:58:23, 2022-03-13 03:58:23,
N/A, 2022-03-13 03:58:07, 2022-03-13 03:58:07,
N/A, 2022-03-13 03:57:21, 2022-03-13 04:10:11,
N/A, 2022-03-13 03:57:18, 2022-03-13 03:59:00,
N/A, 2022-03-13 04:06:53, 2022-03-13 04:07:26,
N/A, 2022-03-13 03:58:26, 2022-03-13 04:07:19,
N/A, 2022-03-13 03:50:35, 2022-03-13 03:54:57,
