DeviceName, DeviceAddedTime, LastSeenTime, 
N/A, 2022-03-13 05:02:16, 2022-03-13 05:02:16,
level: 60 % horiz, 2022-03-13 04:41:56, 2022-03-13 05:02:30,
N/A, 2022-03-13 05:02:20, 2022-03-13 05:02:31,
N/A, 2022-03-13 04:41:56, 2022-03-13 04:41:56,
Alex Martakis’s iPhone, 2022-03-13 04:41:52, 2022-03-13 05:02:32,
N/A, 2022-03-13 05:02:08, 2022-03-13 05:02:31,
N/A, 2022-03-13 04:41:54, 2022-03-13 04:41:54,
N/A, 2022-03-13 04:41:56, 2022-03-13 04:41:56,
N/A, 2022-03-13 04:41:52, 2022-03-13 04:41:52,
N/A, 2022-03-13 04:41:52, 2022-03-13 04:41:52,
N/A, 2022-03-13 04:41:54, 2022-03-13 04:41:54,
N/A, 2022-03-13 04:41:54, 2022-03-13 04:41:54,
N/A, 2022-03-13 04:41:57, 2022-03-13 04:41:57,
N/A, 2022-03-13 05:02:07, 2022-03-13 05:02:31,
Sense, 2022-03-13 04:41:53, 2022-03-13 04:41:53,
N/A, 2022-03-13 04:41:52, 2022-03-13 04:41:52,
N/A, 2022-03-13 05:02:14, 2022-03-13 05:02:31,
QT 1868181, 2022-03-13 04:41:52, 2022-03-13 04:41:52,
Alex’s Apple Watch, 2022-03-13 04:41:52, 2022-03-13 05:02:31,
N/A, 2022-03-13 04:41:52, 2022-03-13 04:41:52,
N/A, 2022-03-13 04:41:56, 2022-03-13 04:41:56,
TallBoy, 2022-03-13 05:02:07, 2022-03-13 05:02:27,
N/A, 2022-03-13 05:02:07, 2022-03-13 05:02:29,
N/A, 2022-03-13 05:02:13, 2022-03-13 05:02:31,
N/A, 2022-03-13 04:41:52, 2022-03-13 04:41:52,
N/A, 2022-03-13 05:02:07, 2022-03-13 05:02:31,
N/A, 2022-03-13 04:41:52, 2022-03-13 04:41:52,
N/A, 2022-03-13 04:41:54, 2022-03-13 04:41:54,
N/A, 2022-03-13 05:02:11, 2022-03-13 05:02:31,
N/A, 2022-03-13 04:41:52, 2022-03-13 04:41:52,
LEDDMX-001DE6, 2022-03-13 04:41:52, 2022-03-13 04:41:52,
N/A, 2022-03-13 04:41:52, 2022-03-13 04:41:52,
N/A, 2022-03-13 04:41:52, 2022-03-13 04:41:52,
N/A, 2022-03-13 05:02:15, 2022-03-13 05:02:29,
N/A, 2022-03-13 05:02:16, 2022-03-13 05:02:28,
N/A, 2022-03-13 04:41:52, 2022-03-13 04:41:52,
N/A, 2022-03-13 05:02:13, 2022-03-13 05:02:13,
N/A, 2022-03-13 05:02:12, 2022-03-13 05:02:31,
N/A, 2022-03-13 05:02:07, 2022-03-13 05:02:32,
N/A, 2022-03-13 04:41:53, 2022-03-13 04:41:53,
N/A, 2022-03-13 05:02:07, 2022-03-13 05:02:31,
N/A, 2022-03-13 04:41:52, 2022-03-13 04:41:52,
N/A, 2022-03-13 05:02:15, 2022-03-13 05:02:15,
N/A, 2022-03-13 04:41:52, 2022-03-13 04:41:52,
N/A, 2022-03-13 05:02:15, 2022-03-13 05:02:15,
N/A, 2022-03-13 04:41:52, 2022-03-13 04:41:52,
N/A, 2022-03-13 05:02:07, 2022-03-13 05:02:31,
N/A, 2022-03-13 04:41:56, 2022-03-13 04:41:56,
N/A, 2022-03-13 05:02:14, 2022-03-13 05:02:14,
N/A, 2022-03-13 05:02:14, 2022-03-13 05:02:30,
N/A, 2022-03-13 04:41:53, 2022-03-13 04:41:53,
N/A, 2022-03-13 04:41:54, 2022-03-13 04:41:54,
N/A, 2022-03-13 04:41:52, 2022-03-13 04:41:52,
N/A, 2022-03-13 04:41:54, 2022-03-13 04:41:54,
N/A, 2022-03-13 04:41:52, 2022-03-13 04:41:52,
N/A, 2022-03-13 04:41:56, 2022-03-13 04:41:56,
N/A, 2022-03-13 05:02:15, 2022-03-13 05:02:31,
N/A, 2022-03-13 04:41:52, 2022-03-13 04:41:52,
N/A, 2022-03-13 05:02:16, 2022-03-13 05:02:31,
N/A, 2022-03-13 05:02:08, 2022-03-13 05:02:08,
